,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.0004984594591882136,0.0014318164331043987,0.00511171848080262,0.0016827188454474594,0.0034122728078656234,0.0018499871203428331,0.0014150896056148614,0.004924378012919802,0.0018232241963595732,0.0006891452925689396,0.0064966997969363146,0.010551282780400172,0.004566423904643702,0.008393522034249852,0.0012177130412383205,0.003425654269857253,0.005600141843497111,0.006908179753178934,0.006677349533823318,0.0006523462720919574,0.0003077736258074876,0.001425125702108584,0.00010705169593303916,0.0015756671495144202,0.001177568655263431,0.0004348975147279716,0,0,0.00031446435680330254,0.000832996008978961,0.0026796377638238864
б,0.0011206974417990038,2.0072192987444842e-05,3.345365497907474e-05,2.3417558485352318e-05,1.3381461991629895e-05,0.002853596769715075,1.672682748953737e-05,6.690730995814947e-06,0.0007828155265103488,0,0.00022748485385770822,0.0007159082165521994,4.348975147279716e-05,0.00036799020476982214,0.002308302193556157,2.676292398325979e-05,0.0013080379096818222,8.697950294559432e-05,1.3381461991629895e-05,0.0014786515500751034,0,2.3417558485352318e-05,0,6.690730995814947e-06,1.0036096493722421e-05,0.00015054144740583633,0.0031379528370372107,0.0002040672953723559,5.352584796651958e-05,3.6799020476982216e-05,0.00036799020476982214
в,0.007483582618819019,0.0002509024123430605,0.0006623823685856799,0.00044158824572378656,0.0006088565206191603,0.006784401229756357,7.025267545605695e-05,0.000642310175598235,0.004402500995246235,3.3453654979074737e-06,0.001207676944744598,0.0009367023394140927,0.00047169653520495383,0.001595739342501865,0.007978696712509325,0.0010470994008450394,0.0011273881727948186,0.0033052211119325844,0.0010671715938324843,0.0008932125879412955,4.6835116970704635e-05,8.363413744768685e-05,4.6835116970704635e-05,0.00031111899130539507,0.0012177130412383205,3.0108289481167265e-05,0.0030543186995895238,0.0005252223831714734,0.0002810107018242278,0,0.00033788191528865487
г,0.002492297295941068,3.345365497907474e-05,5.018048246861211e-05,1.3381461991629895e-05,0.0010671715938324843,0.0005921296931296229,6.690730995814947e-06,4.348975147279716e-05,0.0008564135674643133,0,0.00012043315792466906,0.001742935424409794,3.345365497907474e-05,0.00046835116970704636,0.009042522940843902,6.690730995814948e-05,0.0015555949565269755,6.3561944460242e-05,4.0144385974889684e-05,0.0006155472516149752,3.3453654979074737e-06,0,3.3453654979074737e-06,8.028877194977937e-05,3.3453654979074737e-06,0,0,0,3.3453654979074737e-06,0,0
д,0.00515186286677751,0.00014719608190792886,0.0011942954827529682,8.028877194977937e-05,4.0144385974889684e-05,0.004629985849103944,6.690730995814948e-05,6.690730995814948e-05,0.0024086631584933813,0,0.0004616604387112314,0.0005252223831714734,0.00022413948835980075,0.0025157148544264203,0.003890660074066392,0.0003546087427781922,0.0011641871932718008,0.0005687121346442705,0.0003077736258074876,0.0017663529828951462,3.3453654979074737e-06,2.676292398325979e-05,0.000254247777840968,8.697950294559432e-05,0.00021075802636817085,1.0036096493722421e-05,0.0005887843276317155,0.0006757638305773097,3.0108289481167265e-05,1.0036096493722421e-05,0.0005486399416568257
е,0.0004650058042091389,0.002033982222727744,0.004325557588794364,0.0038806239775726697,0.003960912749522449,0.0018399510238491107,0.0011942954827529682,0.0023183382900498796,0.001475306184577196,0.002217977325112655,0.0026328026468531818,0.007520381639296001,0.0052890228521917165,0.009223172677730906,0.0013515276611546195,0.0035962679102505344,0.008028877194977937,0.006506735893430037,0.007065411931580585,0.0007861608920082564,0.0002174487573639858,0.0006556916375898649,0.00041482532174052676,0.0018198788308616657,0.0008865218569454805,0.0007259443130459218,0,0,0.0002977375293137652,0.00021410339186607832,0.00027431997082841286
ж,0.0015154505705520856,4.6835116970704635e-05,3.345365497907474e-05,2.676292398325979e-05,0.000832996008978961,0.0034356903663509755,1.3381461991629895e-05,1.3381461991629895e-05,0.0013448369301588044,0,0.00018734046788281854,5.6871213464427054e-05,1.0036096493722421e-05,0.0008095784504936087,8.697950294559432e-05,1.3381461991629895e-05,1.0036096493722421e-05,3.6799020476982216e-05,4.0144385974889684e-05,0.00021075802636817085,0,6.690730995814947e-06,0,5.018048246861211e-05,0,0,0,1.3381461991629895e-05,1.0036096493722421e-05,0,0
з,0.0066238236858567985,0.00028770143282004273,0.0014920330120667333,0.00045162434221750897,0.0012177130412383205,0.000832996008978961,0.00010705169593303916,0.00016057754389955874,0.0006155472516149752,3.3453654979074737e-06,0.0003445726462844698,0.0003947531287530819,0.00042820678373215663,0.0019302758922926124,0.0008898672224433881,0.00022413948835980075,0.00033119118429283993,0.00018734046788281854,7.359804095396443e-05,0.0005452945761589182,0,1.0036096493722421e-05,3.3453654979074737e-06,7.359804095396443e-05,1.3381461991629895e-05,0,0.00042820678373215663,0.00022748485385770822,3.345365497907474e-05,0,0.00027431997082841286
и,0.0005820935966359004,0.0013950174126274165,0.005593451112501297,0.0011809140207613383,0.0024755704684515305,0.0024186992549871038,0.00047838726620076877,0.0033085664774304916,0.001659301286962107,0.0019035129683093526,0.004218505892861325,0.007483582618819019,0.003720046433673111,0.00574733792540504,0.001729553962418164,0.0026160758193636445,0.001799806637874221,0.005406110644618478,0.00601162179973973,0.0007025267545605695,0.0002174487573639858,0.001793115906878406,0.0012478213307194877,0.0024822611994473457,0.0007593979680249966,0.00024755704684515306,0,0,0.00027431997082841286,0.00027766533632632033,0.0012980018131880998
й,0.00021075802636817085,0.00045496970771541644,0.0008363413744768685,0.0004750419007028613,0.0005185316521756584,7.359804095396443e-05,0.00017061364039328117,0.00020741266087026338,0.0006791091960752172,0,0.0008363413744768685,0.00015723217840165127,0.0004348975147279716,0.0010805530558241142,0.0004616604387112314,0.0010504447663429468,0.0003345365497907474,0.0013749452196399718,0.0007727794300166265,0.0002040672953723559,8.697950294559432e-05,0.00012043315792466906,0.0001405053509121139,0.0004917687281923987,0.0002810107018242278,3.345365497907474e-05,0,0,8.697950294559432e-05,3.3453654979074737e-06,8.363413744768685e-05
к,0.008537372750659874,0.0003646448392719147,0.0010638262283345766,0.000127123888920484,0.00012377852342257653,0.0010136457458659646,0.00018734046788281854,0.00011708779242676159,0.0038371342260998726,0,0.00028435606732213527,0.0010571354973387618,0.00019403119887863348,0.0013381461991629896,0.009949116990776828,0.00043155214923006416,0.002492297295941068,0.0006791091960752172,0.001093934517815744,0.002706400687807146,1.3381461991629895e-05,2.3417558485352318e-05,3.0108289481167265e-05,0.000190685833380726,5.018048246861211e-05,3.3453654979074737e-06,0,0,8.363413744768685e-05,6.690730995814947e-06,7.025267545605695e-05
л,0.0091763375607602,0.0004917687281923987,0.0011608418277738934,0.0004583150732133239,0.0003211550877991175,0.00573395646341341,0.0003345365497907474,0.00021075802636817085,0.008119202063421439,0,0.0011976408482508756,0.0006456555410961425,0.00033788191528865487,0.0013715998541420642,0.007901753306057453,0.0009768467253889824,0.00031111899130539507,0.0031613703955225628,0.0005653667691463631,0.0017830798103846835,6.3561944460242e-05,3.345365497907474e-05,2.0072192987444842e-05,0.0005653667691463631,7.025267545605695e-05,3.3453654979074737e-06,0.0010537901318408542,0.00415828931389899,0.00010370633043513169,0.0008028877194977938,0.0016425744594725697
м,0.0043857741677566986,0.0003345365497907474,0.0009199755119245553,0.00045496970771541644,0.00030108289481167266,0.0038371342260998726,0.00013381461991629896,0.00022079412286189328,0.0038839693430705773,0,0.000578748231137993,0.00045162434221750897,0.00038806239775726696,0.0022413948835980075,0.004094727369438748,0.001087243786819929,0.00030108289481167266,0.0012177130412383205,0.00041482532174052676,0.0022012504976231177,5.018048246861211e-05,7.025267545605695e-05,2.3417558485352318e-05,0.0004583150732133239,8.028877194977937e-05,3.3453654979074737e-06,0.0008664496639580357,5.018048246861211e-05,0.00011374242692885411,6.690730995814947e-06,0.0006724184650794022
н,0.010879128599195105,0.00016392290939746623,0.0004917687281923987,0.00019737656437654095,0.0011173520763010964,0.01039405060199852,5.352584796651958e-05,0.00021075802636817085,0.008704641025555246,0,0.00047169653520495383,3.6799020476982216e-05,9.032486844350179e-05,0.0038638971500831324,0.012016552868483646,0.0004884233626944912,0.00012043315792466906,0.0010303725733555019,0.0011842593862592457,0.004690202428066279,8.028877194977937e-05,3.0108289481167265e-05,0.0003579541082760997,0.000254247777840968,3.0108289481167265e-05,0.00019737656437654095,0.0038839693430705773,0.0011039706143094665,3.345365497907474e-05,0.00018734046788281854,0.0016626466524600144
о,0.00027431997082841286,0.00482067168248467,0.011016288584609311,0.00581424523536319,0.006269214943078606,0.002271503173079175,0.002301611462560342,0.0024186992549871038,0.0022213226906105626,0.004686857062568371,0.004295449299313196,0.007858263554584657,0.00762743333522904,0.008794965893998748,0.0020774719742005414,0.004114799562426193,0.007848227458090934,0.009169646829764386,0.008868563934952714,0.0006757638305773097,0.0003980984942509894,0.000712562851054292,0.0002174487573639858,0.0030844269890706907,0.001107315979807374,0.0002676292398325979,0,0,0.0005319131141672883,0.0004951140936903061,0.0009433930704099077
п,0.0020607451467110037,3.3453654979074737e-06,1.3381461991629895e-05,0,3.3453654979074737e-06,0.0025458231439075877,0,3.3453654979074737e-06,0.001595739342501865,0,0.00011374242692885411,0.0010805530558241142,3.3453654979074737e-06,0.00030108289481167266,0.010725241786291362,8.363413744768685e-05,0.007928516230040714,4.6835116970704635e-05,0.00016057754389955874,0.001003609649372242,0,0,3.3453654979074737e-06,2.676292398325979e-05,1.0036096493722421e-05,0,0.0004014438597488969,8.028877194977937e-05,0,3.0108289481167265e-05,0.00041482532174052676
р,0.009219827312232998,0.00012377852342257653,0.0007861608920082564,0.0012411305997236729,0.0003546087427781922,0.006500045162434222,0.00031111899130539507,0.00011374242692885411,0.007028612911103602,0,0.0005486399416568257,0.0003211550877991175,0.00026428387433469045,0.0013046925441839148,0.009410513145613725,0.00027431997082841286,0.00011374242692885411,0.0003077736258074876,0.0012177130412383205,0.0030108289481167263,6.690730995814947e-06,0.0002943921638158577,6.690730995814948e-05,0.0002509024123430605,0.0005285677486693809,4.6835116970704635e-05,0.0016057754389955875,0.000769434064518719,4.6835116970704635e-05,0.0002943921638158577,0.0011909501172550608
с,0.0020440183192214664,0.00023417558485352318,0.002117616360175431,0.00016057754389955874,0.0004181706872384342,0.003626376199731702,0.00017395900589118864,0.00011039706143094664,0.002130997822167061,0,0.005048156536342378,0.002957303100150207,0.0008229599124852386,0.0013883266816316017,0.0032148962434890823,0.002254776345589637,0.000254247777840968,0.0013582183921504343,0.011206974417990038,0.0009233208774224627,5.018048246861211e-05,0.00016392290939746623,0.00010036096493722422,0.0005118409211798435,0.00015723217840165127,3.3453654979074737e-06,0.0003646448392719147,0.0041181449279241,5.352584796651958e-05,0.00011708779242676159,0.0044459907467190325
т,0.006784401229756357,0.00023752095035143065,0.002893741155689965,0.00016392290939746623,0.00036129947377400715,0.006888107560191489,0.0001773043713890961,0.00019737656437654095,0.004499516594685552,0,0.00127123888920484,0.00036129947377400715,0.000260938508836783,0.0021376885531628757,0.01603768219696843,0.0008463774709705909,0.0034992523108112175,0.0015121052050541782,0.00037802630126354455,0.0024889519304431605,0.00010370633043513169,5.018048246861211e-05,2.0072192987444842e-05,0.0007560526025270891,4.0144385974889684e-05,1.672682748953737e-05,0.0017027910384349043,0.0054596364925849974,0.00013715998541420643,6.690730995814948e-05,0.0006222379826107901
у,0.0002910467983179502,0.0009367023394140927,0.0016927549419411818,0.001227749137732043,0.0024454621789703635,0.00030108289481167266,0.0014853422810709184,0.000501804824686121,0.0008631042984601283,0.00018399510238491107,0.0015923939770039577,0.002759926535773666,0.0014518886260918437,0.0015221413015479007,0.00036129947377400715,0.0015087598395562708,0.0013046925441839148,0.0019737656437654096,0.002355137310526862,0.0001773043713890961,0.0002709746053305054,0.0010470994008450394,1.672682748953737e-05,0.001137424269288541,0.0009032486844350179,0.00033788191528865487,0,0,7.359804095396443e-05,0.0011876047517571531,0.0002040672953723559
ф,0.0003345365497907474,0,0,0,3.3453654979074737e-06,0.0006322740791045126,0,0,0.00036129947377400715,0,3.3453654979074737e-06,9.367023394140927e-05,0,6.690730995814947e-06,0.00027431997082841286,3.3453654979074737e-06,0.00024086631584933812,3.0108289481167265e-05,1.672682748953737e-05,6.690730995814948e-05,1.3381461991629895e-05,0,0,0,0,0,3.345365497907474e-05,2.0072192987444842e-05,0,0,0
х,0.000762743333522904,0.00011708779242676159,0.0004917687281923987,0.0001773043713890961,0.00016057754389955874,0.000127123888920484,2.0072192987444842e-05,0.00012043315792466906,0.000642310175598235,0,0.00028770143282004273,0.00027431997082841286,0.00022748485385770822,0.000642310175598235,0.002351791945028954,0.0004348975147279716,0.0003980984942509894,0.0003646448392719147,0.00013715998541420643,0.0002910467983179502,3.0108289481167265e-05,2.676292398325979e-05,0,7.359804095396443e-05,4.0144385974889684e-05,3.3453654979074737e-06,0,1.3381461991629895e-05,3.6799020476982216e-05,0,2.0072192987444842e-05
ц,0.0007359804095396443,1.672682748953737e-05,0.00010370633043513169,2.0072192987444842e-05,1.0036096493722421e-05,0.000960119897899445,0,3.3453654979074737e-06,0.0004114799562426193,0,4.0144385974889684e-05,1.0036096493722421e-05,6.690730995814947e-06,3.0108289481167265e-05,0.00038806239775726696,6.690730995814948e-05,3.0108289481167265e-05,4.348975147279716e-05,3.6799020476982216e-05,0.00018064973688700358,0,3.3453654979074737e-06,0,3.3453654979074737e-06,3.3453654979074737e-06,0,0.00020741266087026338,0,3.3453654979074737e-06,0,1.0036096493722421e-05
ч,0.0026796377638238864,3.6799020476982216e-05,5.018048246861211e-05,6.690730995814947e-06,2.0072192987444842e-05,0.004509552691179274,0,3.345365497907474e-05,0.0018399510238491107,0,0.0006188926171128826,3.345365497907474e-05,1.0036096493722421e-05,0.0010504447663429468,0.00012377852342257653,9.367023394140927e-05,0.00010705169593303916,5.018048246861211e-05,0.003669865951204499,0.0006055111551212527,0,3.3453654979074737e-06,0,3.3453654979074737e-06,5.6871213464427054e-05,0,0,0.0002977375293137652,0,0,1.0036096493722421e-05
ш,0.001157496462275986,0,7.025267545605695e-05,3.3453654979074737e-06,3.3453654979074737e-06,0.002422044620485011,0,0,0.0020573997812130965,0,0.0004583150732133239,0.0005352584796651958,6.690730995814947e-06,0.00045496970771541644,0.0002709746053305054,6.3561944460242e-05,2.3417558485352318e-05,6.690730995814947e-06,0.0001304692544183915,0.0004583150732133239,0,0,0,0,0,0,0,0.0004181706872384342,0,0,0
щ,0.0004917687281923987,6.690730995814947e-06,0,0,0,0.001481996915573011,0,0,0.0011942954827529682,0,6.690730995814947e-06,3.3453654979074737e-06,0,7.359804095396443e-05,1.0036096493722421e-05,6.690730995814947e-06,6.690730995814947e-06,3.3453654979074737e-06,0,0.00015723217840165127,0,0,0,0,0,0,0,2.676292398325979e-05,0,0,3.3453654979074737e-06
ы,0.00010705169593303916,0.0004850779971965837,0.0014150896056148614,0.0002174487573639858,0.0003077736258074876,0.001157496462275986,0.00012043315792466906,0.0002442116813472456,0.0003980984942509894,0.0020139100297402995,0.00047838726620076877,0.002371864138016399,0.00158904861150605,0.0006456555410961425,0.00026428387433469045,0.0006188926171128826,0.0004081345907447118,0.0012377852342257652,0.000839686739974776,0.0001538868129037438,6.690730995814947e-06,0.0010571354973387618,6.690730995814947e-06,0.00031111899130539507,0.0006556916375898649,2.0072192987444842e-05,0,0,8.363413744768685e-05,0,6.021657896233453e-05
ь,0.00018734046788281854,0.00033119118429283993,0.0013682544886441568,0.0002910467983179502,0.00047838726620076877,0.0013381461991629896,6.021657896233453e-05,0.0004382428802258791,0.000839686739974776,0,0.0016894095764432744,0.00015723217840165127,0.0006690730995814948,0.0026528748398406267,0.0008898672224433881,0.00095342916690363,0.00019737656437654095,0.0018031520033721285,0.0008932125879412955,0.00024755704684515306,7.025267545605695e-05,9.032486844350179e-05,0.00015723217840165127,0.0005452945761589182,0.0004348975147279716,2.3417558485352318e-05,0,0,0.00014385071641002137,0.00042820678373215663,0.0006490009065940499
э,3.3453654979074737e-06,3.3453654979074737e-06,0,3.3453654979074737e-06,6.690730995814947e-06,0,0,3.3453654979074737e-06,0,2.3417558485352318e-05,4.0144385974889684e-05,1.3381461991629895e-05,1.672682748953737e-05,2.0072192987444842e-05,0,1.0036096493722421e-05,2.676292398325979e-05,1.0036096493722421e-05,0.0029405762726606695,0,1.0036096493722421e-05,2.676292398325979e-05,0,0,0,0,0,0,0,0,0
ю,6.3561944460242e-05,0.0002910467983179502,0.00032784581879493247,0.0001304692544183915,0.0003579541082760997,3.0108289481167265e-05,6.3561944460242e-05,7.69434064518719e-05,0.00021075802636817085,0,0.0003077736258074876,9.367023394140927e-05,0.00020741266087026338,0.0002810107018242278,0.00020072192987444844,0.0003077736258074876,0.0001538868129037438,0.0004951140936903061,0.00045162434221750897,4.6835116970704635e-05,5.352584796651958e-05,0.00011039706143094664,2.676292398325979e-05,0.00024755704684515306,7.69434064518719e-05,0.0005854389621338079,0,0,2.0072192987444842e-05,7.025267545605695e-05,2.676292398325979e-05
я,0.000260938508836783,0.00043155214923006416,0.001963729547271687,0.0003546087427781922,0.0009935735528785196,0.00028770143282004273,0.0002509024123430605,0.000642310175598235,0.0009266662429203703,5.018048246861211e-05,0.0010136457458659646,0.0011140067108031887,0.0007794701610124414,0.0019603841817737795,0.0006188926171128826,0.0011675325587697084,0.00035126337728028475,0.0018867861408198153,0.0020005285677486694,0.00027431997082841286,8.028877194977937e-05,0.0002943921638158577,4.348975147279716e-05,0.000501804824686121,0.00012377852342257653,0.0004616604387112314,0,0,0.00013715998541420643,0.00018064973688700358,0.00023417558485352318
