, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0,0.0029108229690394285,0.0063790375704481095,0.016303705246800627,0.0044915068153795045,0.0053627831296132605,0.0027911808257278467,0.001829821015353606,0.004605518740182306,0.011088715353042851,9.85288239036557e-06,0.009598115002843261,0.0028080714812541876,0.005907506770337757,0.015156548225636637,0.009636118977777528,0.01693006705590244,0.003931300073755862,0.014751172493004453,0.0074600395241339315,0.004087538637374517,0.0007234830783782719,0.0011007077184665536,0.0002575824967766999,0.005165725481805949,0.0010486281972603357,0.00013934790809231308,0,0,0.002399880639367614,5.6302185087803256e-05,0.0015750536278312962
а,0.017878758874631924,1.4075546271950814e-05,0.0005559840777420572,0.002467443261472978,0.0009022425160320472,0.0022394194118673747,0.0011021152730937489,0.001088039726821798,0.003874997888668059,0.00029136380782938183,0.0005770973971499834,0.004252222528756341,0.008643792965604994,0.00310506550759235,0.005126313952244487,3.2373756425486873e-05,0.0008656460957249751,0.0043606042350503625,0.004029828897659518,0.004898290102638883,7.600794986853439e-05,0.00018720476541694584,0.0011260437017560651,7.178528598694915e-05,0.0009219482808127783,0.0007910457004836358,0.0003420357744084048,0,0,1.4075546271950814e-05,0.0007333359607686374,0.002121184823182988
б,0.00019424253855292124,0.0009543220372382652,1.126043701756065e-05,2.111331940792622e-05,1.829821015353606e-05,7.037773135975407e-06,0.002319650025617494,1.126043701756065e-05,1.4075546271950814e-06,0.0006587355655272981,0,0.0001590536728730442,0.0005672445147596178,4.50417480702426e-05,0.0003166997911188933,0.0019410178309020173,0,0.001071149071295457,8.163816837731473e-05,4.222663881585245e-06,0.0012133120886421603,0,2.8151092543901628e-05,1.4075546271950814e-06,5.630218508780325e-06,7.037773135975407e-06,0.0001294950257019475,0.0027433239684032137,0.00017875943765377535,0,1.689065552634098e-05,0.00032373756425486873
в,0.006847753261304071,0.0062959918474436,1.126043701756065e-05,0.00011119681554841143,1.970576478073114e-05,0.00027025048842145566,0.005621773181017155,0,0.00041382106039535395,0.003524516786496484,0,0.00023083895885999336,0.0005841351702859588,0.00011682703405719176,0.000881129196624121,0.006305844729833965,0.00021676341258804253,0.0006122862628298604,0.002121184823182988,0.0002885486985749917,0.0006516977923913227,0,3.941152956146228e-05,3.659642030707212e-05,0.00010838170629402127,0.0009543220372382652,1.689065552634098e-05,0.002611013833446876,0.000484198791755108,0,0,0.0002561749421495048
г,0.0005067196657902294,0.0021352603694549384,0,2.8151092543901627e-06,0,0.0009022425160320472,0.00047997612787352277,0,1.4075546271950814e-06,0.0006305844729833965,0,7.460039524133932e-05,0.0015229741066250782,1.126043701756065e-05,0.00038989263173303755,0.007613462978498195,1.4075546271950814e-06,0.0012808747107475242,8.44532776317049e-06,2.111331940792622e-05,0.00048279123712791295,0,0,0,4.926441195182785e-05,1.4075546271950814e-06,0,0,0,0,0,0
д,0.00147089458541886,0.004190290125159758,7.037773135975407e-05,0.0009163180623039981,1.126043701756065e-05,1.126043701756065e-05,0.003856699678514523,5.207952120621801e-05,9.85288239036557e-06,0.00198324446971787,0,0.00030121669021974744,0.00042085883353132933,0.0001294950257019475,0.0019283498392572616,0.0032584889619566137,0.00010134393315804587,0.0009655824742558259,0.0003575188753075507,0.00019846520243450649,0.0014582265937741043,0,3.378131105268196e-05,0.00021113319407926222,6.474751285097375e-05,0.00016046122750023928,0,0.0004870139010094982,0.0005813200610315687,0,9.85288239036557e-06,0.00041241350576815884
е,0.016040492531515148,0.00013090258032914258,0.0008628309864705849,0.002088811066757501,0.00293615895232894,0.0028108865905085777,0.00129354270239228,0.000760079498685344,0.00138503375315996,0.00019987275706170158,0.0018551569986431174,0.001434298165111788,0.005927212535118488,0.0036511967029440413,0.006256580317882137,0.00019424253855292124,0.0011865685507254536,0.00648460416748774,0.004067832872593785,0.005192469019722656,0.00016046122750023928,0.00011823458868438683,0.00039693040486901297,0.00033077533739084416,0.0010612961889050914,0.0006516977923913227,0.0005799125064043735,0,0,0,0.00017875943765377535,0.00017172166451779995
ж,0.0002646202699126753,0.0013188786856817914,2.3928428662316386e-05,0,1.4075546271950814e-05,0.0007178528598694915,0.0029600873809912565,9.85288239036557e-06,0,0.0011302663656376504,0,0.00014075546271950814,4.0819084188657365e-05,8.44532776317049e-06,0.0006305844729833965,5.3487075833413094e-05,0,4.222663881585245e-06,2.111331940792622e-05,2.8151092543901627e-06,0.00018579721078975075,0,0,0,3.5188865679877035e-05,0,0,0,1.829821015353606e-05,0,0,0
з,0.0015834989555944666,0.0054711648359072815,0.00017031410989060486,0.0010908548360761881,0.0002730655976758458,0.00086423854109778,0.0006291769183562014,8.726838688609505e-05,8.726838688609505e-05,0.0004912365648910834,0,0.00011260437017560651,0.00034485088366279496,0.0002350616227415786,0.0013808110892783749,0.0006488826831369326,3.941152956146228e-05,0.000258990051403895,1.2667991644755733e-05,4.222663881585245e-06,0.0004250814974129146,0,0,0,1.4075546271950814e-05,2.8151092543901627e-06,0,0.00038285485859706217,0.00015201589973706879,0,1.4075546271950814e-06,0.00019987275706170158
и,0.016200953759015386,0.00022943140423279827,0.0005616142962508375,0.0027630297331839447,0.0004926441195182785,0.001486377686318006,0.0016552842415814158,0.00024632205975913925,0.002192970109169937,0.00048138368250071783,0.0016215029305287339,0.00267576134629785,0.006139753283824945,0.0025350058835783415,0.0032401907518030777,0.0004025606233777933,0.0002969940263381622,0.0011077454916025291,0.002900970086649063,0.004090353746628907,0.000121049697938777,7.741550449572948e-05,0.0014399283836205683,0.0009726202473918013,0.001712993981296414,0.0004968667833998637,0.0001970576478073114,0,0,2.8151092543901627e-06,0.0002449145051319442,0.0009895109029181422
й,0.007934385433498675,0,1.4075546271950814e-05,0,1.126043701756065e-05,0.00010134393315804587,1.4075546271950814e-06,0,0,0,0,0.00013090258032914258,1.5483100899145895e-05,3.941152956146228e-05,0.0003856699678514523,1.126043701756065e-05,1.4075546271950814e-06,0,0.0003715944215795015,0.0003870775224786474,0,2.8151092543901627e-06,0,8.30457230045098e-05,0.0001660914460090196,0.00017172166451779995,1.829821015353606e-05,0,0,0,0,1.4075546271950814e-05
к,0.004228294100094025,0.00708562999330004,1.4075546271950814e-06,0.0005390934222157162,2.8151092543901627e-06,0,0.0008670536503521701,4.644930269743769e-05,1.5483100899145895e-05,0.002886894540377112,0,2.25208740351213e-05,0.0008079363560099768,2.8151092543901627e-06,0.0006840715488168096,0.008415769115999392,0,0.002107109276911037,0.00014075546271950814,0.0006995546497159554,0.0021831172267795713,0,2.8151092543901627e-06,2.3928428662316386e-05,2.8151092543901627e-06,1.126043701756065e-05,0,0,0,0,0,0
л,0.007928755214989893,0.0074783377342874675,7.882305912292456e-05,2.3928428662316386e-05,0.00011119681554841143,6.615506747816882e-05,0.0044478726219364575,0.0002125407487064573,2.955864717109671e-05,0.006239689662355796,0,0.00039693040486901297,0.00042789660666730475,5.3487075833413094e-05,0.00045886280846559654,0.00621576123369348,5.770973971499834e-05,0,0.001966353814191529,0.00019565009318011633,0.0013019880301554504,1.126043701756065e-05,5.630218508780325e-06,0,0.00013231013495633765,1.4075546271950814e-05,1.4075546271950814e-06,0.0008586083225889996,0.003504811021715753,1.4075546271950814e-06,0.0006770337756808342,0.0013188786856817914
м,0.0073868466835197875,0.003578003862329897,1.126043701756065e-05,6.897017673255899e-05,7.600794986853439e-05,7.037773135975407e-06,0.00311069572610113,0,0,0.002799626153491017,0,0.00010838170629402127,0.00018438965616255566,8.445327763170488e-05,0.001278059601493134,0.002905192750530648,0.000173129219144995,9.430616002207045e-05,0.00027025048842145566,7.600794986853439e-05,0.0017256619729411698,4.222663881585245e-06,0,7.037773135975407e-06,2.6743537916706547e-05,1.126043701756065e-05,2.8151092543901627e-06,0.0006981470950887604,4.50417480702426e-05,2.8151092543901627e-06,0,0.0005165725481805949
н,0.003355610231233074,0.009156142849904006,5.630218508780325e-06,2.955864717109671e-05,9.430616002207045e-05,0.0008543856587074144,0.00880566174773243,1.126043701756065e-05,5.6302185087803256e-05,0.007026512698957847,0,0.000258990051403895,0,0,0.0030994352890835694,0.009724794919290817,0,3.941152956146228e-05,0.0004968667833998637,0.0008163816837731472,0.0037370575352029412,6.897017673255899e-05,0,0.00030403179947413757,0.0001674990006362147,4.222663881585245e-06,0.000173129219144995,0.0031951490037328348,0.0009205407261855833,0,0.00015764611824584912,0.0013977017448047158
о,0.020914854205491714,1.126043701756065e-05,0.0029840158096535725,0.006953319858343702,0.004346528688778412,0.0045013596977698704,0.0015300118797610535,0.0015652007454409307,0.0014821550224364208,0.0006629582294088833,0.0038102503758170856,0.002554711648359073,0.006272063418781283,0.005669630038341788,0.005371228457376431,0.00019424253855292124,0.0013526599967344734,0.006173534594877627,0.005571101214438132,0.006483196612860545,5.6302185087803256e-05,0.00030684690872852775,0.000484198791755108,0.000121049697938777,0.001710178872042024,0.0007727474903300997,0.00022098607646962778,0,0,0.00014075546271950814,0.00039974551412340315,0.0005039045565358391
п,4.926441195182785e-05,0.0016679522332261716,0,0,0,0,0.002123999932437378,0,0,0.0012513160635764275,0,9.00834961404852e-05,0.0008966122975232668,0,0.00025476738752230974,0.009173033505430346,6.193240359658358e-05,0.006497272159132496,3.378131105268196e-05,0.00015201589973706879,0.0007994910282468063,0,0,4.222663881585245e-06,2.111331940792622e-05,1.689065552634098e-05,0,0.00033077533739084416,8.726838688609505e-05,0,2.955864717109671e-05,0.000380039749342672
р,0.0015060834510987372,0.007540270137884051,6.756262210536392e-05,0.0004870139010094982,0.0010120317769532635,0.0002575824967766999,0.005610512743999594,0.0002280238496056032,4.644930269743769e-05,0.005568286105183742,0,0.00039693040486901297,0.0002561749421495048,0.0001970576478073114,0.0009571371464926554,0.00793297787887148,6.333995822377867e-05,5.911729434219342e-05,0.0001590536728730442,0.0009247633900671686,0.002491371690135294,4.222663881585245e-06,0.00021113319407926222,6.615506747816882e-05,0.00018438965616255566,0.0004476023714480359,4.0819084188657365e-05,0.0013357693412081324,0.0006235466998474211,0,0.0002505447236407245,0.0010162544408348487
с,0.002917860742175404,0.0016665446785989763,7.037773135975407e-05,0.0014793399131820305,2.6743537916706547e-05,0.00024913716901352943,0.0029502344986008905,3.8003974934267196e-05,1.829821015353606e-05,0.0018002623681825092,0,0.003893296098821595,0.002468850816100173,0.0005939880526763244,0.0008614234318433899,0.002605383614938096,0.0016144651573927584,0.000173129219144995,0.0009191331715583882,0.00924622634604449,0.0007488190616677834,2.111331940792622e-05,0.00013090258032914258,7.882305912292456e-05,0.0003181073457460884,0.00013371768958353274,2.8151092543901627e-06,0.00032092245500047855,0.003455546609763925,1.4075546271950814e-06,9.430616002207045e-05,0.003749725526847697
т,0.005780826853890199,0.005575323878319717,2.3928428662316386e-05,0.001936795167020432,2.8151092543901627e-06,0.00015060834510987372,0.00570622645864886,0,4.222663881585245e-06,0.0034330257357288035,0,0.0007220755237510768,0.0002125407487064573,2.8151092543901628e-05,0.0012485009543220372,0.013252126815041692,8.163816837731473e-05,0.002854520783951625,0.0007840079273476603,5.3487075833413094e-05,0.001969168923445919,5.6302185087803256e-05,1.2667991644755733e-05,1.689065552634098e-05,0.0003575188753075507,5.630218508780325e-06,5.630218508780325e-06,0.0014089621818222766,0.0045421787819585275,0,7.037773135975407e-05,0.0004461948168208408
у,0.006543721461829933,0.00010275148778524094,0.0006362146914921769,0.0007178528598694915,0.0009303936085759488,0.0018002623681825092,0.0001745367737721901,0.001195013878488624,0.00027869581618462615,2.111331940792622e-05,0.00014638568122828848,0.0009458767094750947,0.0021845247814067663,0.0009303936085759488,0.0004996818926542539,4.222663881585245e-06,0.0006179164813386408,0.000968397583510216,0.0012048667608789898,0.0016299482582919043,4.222663881585245e-06,0.00019565009318011633,0.0008332723392994882,8.44532776317049e-06,0.0006756262210536391,0.00069251687657998,0.0002505447236407245,0,0,1.5483100899145895e-05,0.0009951411214269225,8.867594151329013e-05
ф,3.5188865679877035e-05,0.0002730655976758458,1.4075546271950814e-06,0,0,0,0.0005039045565358391,0,0,0.0003349980012724294,0,0,8.867594151329013e-05,0,1.4075546271950814e-06,0.0002449145051319442,0,0.00018579721078975075,2.25208740351213e-05,1.689065552634098e-05,5.207952120621801e-05,1.126043701756065e-05,0,0,0,0,0,3.096620179829179e-05,1.4075546271950814e-05,0,0,0
х,0.0029263060699385745,0.0005658369601324227,2.8151092543901627e-06,0.0001660914460090196,5.770973971499834e-05,0,6.333995822377867e-05,0,0,0.0003138846818645032,0,7.037773135975407e-06,0.0001674990006362147,5.770973971499834e-05,0.0003321828920180392,0.001780556603401778,0,0.00019565009318011633,4.50417480702426e-05,2.111331940792622e-05,0.00018438965616255566,0,2.8151092543901627e-06,0,0,2.3928428662316386e-05,0,0,7.037773135975407e-06,2.8151092543901627e-06,0,0
ц,0.0003476659929171851,0.0006319920276105916,1.4075546271950814e-06,6.333995822377867e-05,0,0,0.0008318647846722932,0,0,0.00028291848006621134,0,1.4075546271950814e-05,5.630218508780325e-06,0,0,0.0002575824967766999,0,3.8003974934267196e-05,0,2.8151092543901627e-06,0.00015483100899145897,0,0,2.8151092543901627e-06,0,0,0,0.00015623856361865403,0,0,0,0
ч,0.0005334632037069358,0.0022436420757489597,0,1.4075546271950814e-06,0,0,0.003791952165663549,0,0,0.0015511251991689797,0,0.0004912365648910834,2.5335983289511466e-05,4.222663881585245e-06,0.0007783777088388801,6.333995822377867e-05,0,6.615506747816882e-05,0,0.0030487633225045464,0.0004785685732463277,0,0,0,0,5.207952120621801e-05,0,0,0.00025476738752230974,0,0,0
ш,7.460039524133932e-05,0.001020477104716434,0,6.474751285097375e-05,0,0,0.002059252419586404,0,0,0.0018058925866912894,0,0.00039130018636023266,0.0004293041612944998,7.037773135975407e-06,0.00038144730396986705,0.000242099395877554,4.785685732463277e-05,5.630218508780325e-06,0,9.571371464926554e-05,0.0003884850771058425,0,0,0,0,0,0,0,0.00033640555589962447,0,0,0
щ,3.378131105268196e-05,0.00044197215293925556,0,0,0,0,0.0012470933996948422,0,0,0.0010289224324796045,0,0,0,0,5.489463046060818e-05,4.222663881585245e-06,0,2.8151092543901627e-06,0,0,0.0001435705719738983,0,0,0,0,0,0,0,2.111331940792622e-05,0,0,0
ы,0.003807435266562695,0,0.0002561749421495048,0.0008332723392994882,0.00010134393315804587,9.85288239036557e-05,0.0008952047428960718,7.319284061414424e-05,7.460039524133932e-05,2.8151092543901627e-06,0.0017833717126561682,0.00020128031168889664,0.0019142742929853108,0.0012386480719316717,0.00015201589973706879,0,0.0001365327988379229,0.00025195227826791956,0.0006643657840360785,0.0005475387499788867,0,0,0.0008374950031810734,1.5483100899145895e-05,0.00015201589973706879,0.0004996818926542539,7.037773135975407e-06,0,0,0,0,1.5483100899145895e-05
ь,0.009281415211724367,0,3.941152956146228e-05,3.941152956146228e-05,7.460039524133932e-05,0.00010838170629402127,0.0008853518605057062,1.4075546271950814e-06,0.000121049697938777,5.911729434219342e-05,0,0.0009050576252864373,0,0.00022520874035121302,0.0012470933996948422,7.037773135975407e-06,1.126043701756065e-05,1.4075546271950814e-06,0.0007037773135975407,0.0002449145051319442,0,1.2667991644755733e-05,0,0.00011823458868438683,5.911729434219342e-05,0.00032233000962767367,9.85288239036557e-06,0,0,4.222663881585245e-06,0.00032936778276364904,0.000415228615022549
э,1.4075546271950814e-05,0,0,0,4.222663881585245e-06,0,0,0,4.222663881585245e-06,0,9.85288239036557e-06,3.096620179829179e-05,2.111331940792622e-05,9.85288239036557e-06,1.689065552634098e-05,0,4.222663881585245e-06,1.126043701756065e-05,1.4075546271950814e-05,0.0024139561856395646,0,7.037773135975407e-06,2.3928428662316386e-05,0,0,0,0,0,0,0,0,0
ю,0.0025814551862757794,0,0.0001674990006362147,1.689065552634098e-05,8.44532776317049e-06,0.00023365406811438351,0,5.630218508780325e-06,1.4075546271950814e-06,0,0,3.659642030707212e-05,2.6743537916706547e-05,6.05248489693885e-05,3.941152956146228e-05,0,1.4075546271950814e-06,4.644930269743769e-05,0.00017031410989060486,0.0002885486985749917,0,1.4075546271950814e-06,6.615506747816882e-05,1.689065552634098e-05,0.0001140119248028016,3.2373756425486873e-05,0.0004701232454831572,0,0,0,5.770973971499834e-05,1.4075546271950814e-06
я,0.009336309842184976,0,2.25208740351213e-05,0.0004461948168208408,9.712126927646062e-05,0.0005517614138604719,9.289860539487537e-05,0.00011964214331158193,0.000258990051403895,2.6743537916706547e-05,4.785685732463277e-05,0.00019987275706170158,0.000812159019891562,0.0003054393541013327,0.0005475387499788867,0,5.770973971499834e-05,9.289860539487537e-05,0.0007586719440581489,0.0012386480719316717,1.126043701756065e-05,7.037773135975407e-06,0.00014779323585548354,4.222663881585244e-05,0.00015623856361865403,2.3928428662316386e-05,0.00037018686695230644,0,0,0,0.00014216301734670323,0.00013090258032914258
